 iteration	    volume	       obj	 step-size	num-reeval	succ-objdiff	 stnrty-L2	  stnrty-B	
0,	1.50000000e+00,	4.80279457e-02,	1.00000000e+00,	0,	inf,	1.36138018e-01,	4.81319837e-02,	
1,	1.50000000e+00,	4.13400694e-02,	1.00000000e+00,	0,	6.68787627e-03,	1.02996518e-01,	3.61592413e-02,	
2,	1.50000000e+00,	2.95435120e-02,	3.93146501e+00,	0,	1.17965575e-02,	5.59383822e-02,	1.83260117e-02,	
3,	1.50000000e+00,	2.31845642e-02,	8.09417318e+00,	0,	6.35894779e-03,	3.57123155e-02,	9.95813557e-03,	
4,	1.50000000e+00,	1.91743125e-02,	2.04249943e+01,	0,	4.01025172e-03,	2.45337880e-02,	4.64284583e-03,	
5,	1.50000000e+00,	1.71035224e-02,	4.69039641e+01,	0,	2.07079007e-03,	2.03212246e-02,	2.69020282e-03,	
6,	1.50000000e+00,	1.50376934e-02,	1.51223358e+02,	0,	2.06582901e-03,	1.41597681e-02,	2.19110457e-03,	
7,	1.50000000e+00,	1.44141313e-02,	1.98995514e+02,	1,	6.23562066e-04,	1.42126041e-02,	3.53895387e-03,	
8,	1.50000000e+00,	1.40879908e-02,	1.46776116e+02,	0,	3.26140497e-04,	1.41852779e-02,	2.96003641e-03,	
9,	1.50000000e+00,	1.30892195e-02,	1.03461949e+02,	0,	9.98771363e-04,	1.04812843e-02,	1.58241497e-03,	
10,	1.50000000e+00,	1.24094360e-02,	1.03632966e+02,	0,	6.79783425e-04,	9.02033591e-03,	1.05454045e-03,	
11,	1.50000000e+00,	1.18658073e-02,	2.12631199e+02,	0,	5.43628708e-04,	7.70618555e-03,	8.93534019e-04,	
12,	1.50000000e+00,	1.11854333e-02,	5.96669624e+02,	0,	6.80374048e-04,	7.71953102e-03,	1.50822141e-03,	
13,	1.50000000e+00,	1.06501212e-02,	5.80010452e+02,	1,	5.35312060e-04,	6.96487073e-03,	1.50190383e-03,	
14,	1.50000000e+00,	1.02157145e-02,	4.83446357e+02,	0,	4.34406694e-04,	4.98440947e-03,	6.01746522e-04,	
15,	1.50000000e+00,	9.96073606e-03,	4.78397364e+02,	0,	2.54978473e-04,	4.21847128e-03,	3.32875611e-04,	
16,	1.50000000e+00,	9.75234663e-03,	8.23996503e+02,	0,	2.08389425e-04,	3.39111474e-03,	2.44488549e-04,	
17,	1.50000000e+00,	9.52558324e-03,	4.68801921e+03,	1,	2.26763391e-04,	1.80293219e-03,	2.85806942e-04,	
18,	1.50000000e+00,	9.41128691e-03,	1.25014985e+04,	0,	1.14296338e-04,	6.88736909e-04,	9.50885161e-05,	
19,	1.50000000e+00,	9.35878119e-03,	1.59566340e+04,	0,	5.25057204e-05,	2.37137651e-04,	2.36826546e-05,	
20,	1.50000000e+00,	9.33746387e-03,	2.27149347e+04,	0,	2.13173175e-05,	1.21997076e-04,	1.57746311e-05,	
21,	1.50000000e+00,	9.32967117e-03,	8.79699819e+04,	0,	7.79270070e-06,	6.17536881e-05,	8.14140608e-06,	
22,	1.50000000e+00,	9.32510659e-03,	1.52215306e+05,	0,	4.56457874e-06,	4.07749429e-05,	5.06162264e-06,	
23,	1.50000000e+00,	9.32232950e-03,	2.08360913e+05,	0,	2.77708535e-06,	3.66935349e-05,	4.18395470e-06,	
24,	1.50000000e+00,	9.32056558e-03,	2.26931435e+05,	0,	1.76392203e-06,	3.13544019e-05,	4.00510627e-06,	
25,	1.50000000e+00,	9.31941919e-03,	2.54169345e+05,	0,	1.14638842e-06,	1.86628667e-05,	2.32231599e-06,	
26,	1.50000000e+00,	9.31912368e-03,	2.23463653e+05,	0,	2.95509775e-07,	1.70783854e-05,	3.21907088e-06,	
