gl, gll, cheb, eq, opt
4.000000000000000000e+00,7.179206709102954331e-01,5.946154210200348400e-01,6.063945745009107213e-01,7.349894528394006477e-01,5.934956216191840106e-01
5.000000000000000000e+00,7.775198996784946637e-01,4.675634728752185998e-01,5.831870093838972258e-01,4.082349378220805347e-01,3.714446327046702079e-01
6.000000000000000000e+00,4.132704994941531762e-01,3.000917859685980349e-01,3.493422725859792743e-01,2.594835608523792247e-01,2.253489520203232066e-01
7.000000000000000000e+00,2.810323900093503191e-01,2.080666916772930253e-01,2.378855368149090377e-01,1.811779429968529420e-01,1.601789926336806558e-01
8.000000000000000000e+00,2.004463617310684731e-01,1.527006101138320415e-01,1.733768921504138527e-01,1.325278245729341609e-01,1.165894655061224527e-01
9.000000000000000000e+00,1.491951910382382229e-01,1.183006030480665827e-01,1.319283840631505778e-01,1.010701192036561058e-01,8.942477126839558366e-02
1.000000000000000000e+01,1.163703084235865742e-01,9.442898441175399948e-02,1.030633389487887464e-01,7.949742021082770171e-02,7.038539573887798995e-02
1.100000000000000000e+01,9.229427489925420836e-02,7.689685431988282915e-02,8.380707883682218806e-02,6.467350596916345007e-02,5.726611136215624398e-02
1.200000000000000000e+01,7.548276760923186557e-02,6.374451010585382993e-02,6.915187100814794430e-02,5.381512481993266928e-02,4.705631546592857484e-02
1.300000000000000000e+01,6.275311407855886647e-02,5.364986770754572726e-02,5.781419942708668214e-02,4.553328880276160534e-02,3.948761329450856811e-02
1.400000000000000000e+01,5.281859572519071594e-02,4.611960489382870704e-02,4.934779411737344468e-02,3.859225669174972534e-02,3.382925942152409382e-02
1.500000000000000000e+01,4.572113326106641562e-02,3.988185069815090855e-02,4.252496088296415372e-02,3.359131860494100896e-02,2.926117812681750321e-02
1.600000000000000000e+01,3.939828160626065306e-02,3.494611675891233504e-02,3.702977405524496279e-02,2.933599452246418368e-02,2.560770240370221357e-02
1.700000000000000000e+01,3.467065670797136318e-02,3.079708520119989884e-02,3.259103672940404095e-02,2.603878883236627681e-02,2.261199163678339480e-02
1.800000000000000000e+01,3.048882062113811992e-02,2.748865030419233094e-02,2.911498007500115323e-02,2.295525002958656580e-02,2.034094578640000678e-02
1.900000000000000000e+01,2.737396075585363936e-02,2.451757969698293432e-02,2.591826469983190065e-02,2.075533192948882805e-02,1.802990655596073410e-02
